company_age_months,monthly_burn_usd,runway_months,team_size,founder_exits,customer_growth_pct,support_tickets_last_30_days,annual_revenue_usd,market_segment,growth_stage,remote_friendly,investor_tier,churned
," USD 49,071.55 ",11, 35.0 ,0, 0 % ,25.0,"734,360", ai ,Seed,TRUE,Tier-2-Vc,0
n/a,"51,758",13.45,31.0,1.0,-1.78, 22.0 ," USD 753,760.05 ",Fintech,SEED,Yes,Tier-1-Vc,0
112,"$111,968",,,0.0,16.1%,19,"$1,452,097",Ecommerce,series-a,,ANGEL,0
87," USD 71,596.68 ",9.98, 53.0 ,1,3.56, 19.0 ,"$1,189,950",ECOMMERCE, pre-seed ,Yes,TIER-2-VC,0
19,"190,386",4,13.0,0.0,1.83, 16.0 ,"3,228,854", ecommerce , series-a ,TRUE,Tier-1-Vc,0
115," USD 56,093.33 ",3.42,26, 1.0 , -14 % ,16.0,unknown,HEALTHTECH, seed ,yes, tier-1-vc ,0
 115.0 ,,6.7,26.0,1,11.4,20,"$1,954,265",SAAS,PRE-SEED,1,Tier-2-Vc,0
22.0,"77,155",6,32,1,6.7%,20.0," USD 1,900,685.31 ",ai,Series-A,1,none,0
 96.0 ,"$113,287", 12.23 , 20.0 , 0.0 ,4.21, 16.0 ,"2,773,457",ai, seed ,Yes, tier-1-vc ,0
50.0,"$57,186", 7.06 ,30.0,0, 14 % , 16.0 ,"673,858",SAAS,SERIES-A,yes, tier-2-vc ,0
72.0,"$71,164", 9.49 ,24.0, 0.0 ,23.5%, 14.0 ," USD 878,321.27 ",healthtech,series-b,FALSE,angel,1
 55.0 ,"68,629",9, 4.0 ,1,22.63,11," USD 807,245.01 ",Ai,Series-A,remote,NONE,1
94.0," USD 46,173.84 ",10.8,unknown, 0.0 ,19.95, 22.0 ,"934,014",unknown,SEED,Yes,Tier-1-Vc,0
 119.0 ,"105,255",19.61,11.0, 0.0 , 6 % ,n/a,"$1,516,297", saas ,PRE-SEED,,none,1
 96.0 ,"$104,573",16,2,2,-0.21,18.0," USD 1,773,415.23 ",SAAS,Series-B,remote,,0
,"101,362",13,28.0,0,-8.8%,14.0,"2,431,462",HEALTHTECH,SEED,yes, angel ,0
113,"170,302",10.69,33.0, 0.0 ,-0.68, 19.0 ,,saas,Series-A,yes,tier-2-vc,0
13,"162,290",11, 33.0 , 0.0 ,10.35, 16.0 ," USD 3,055,106.90 ",, series-a ,TRUE,None,0
32,"$59,503",15,34, 0.0 , -4 % , 31.0 ,"1,075,913",Fintech,seed,FALSE,TIER-2-VC,0
87,"$89,786",16,2.0,0, 12 % ,18.0,, saas ,PRE-SEED,No, angel ,0
72,"51,897",8, 7.0 ,1.0, -7 % ,21.0,"1,050,225",ai,SEED,remote,Tier-1-Vc,0
8,"74,076",13, 54.0 , 0.0 ,-19.9,21.0,unknown,, seed ,1,angel,0
14.0," USD 52,582.46 ",3,11, 0.0 , 25 % , 17.0 ,"1,123,136",fintech,seed,onsite,NONE,0
63.0,"$178,267",n/a, 35.0 ,1.0,1.5%,16,"$2,433,382",unknown,SEED,1,ANGEL,0
75,"89,325",17,16,0.0,-5.07, 18.0 ,"1,258,419",Healthtech,SERIES-A,no, none ,1
 22.0 ,"$64,866", 11.6 ,27.0,0, -10 % ,unknown,"755,436",healthtech,SEED,Yes,Tier-1-Vc,0
23.0,"140,996",22,, 1.0 ,17.61,n/a,"1,734,674",unknown,pre-seed,Yes,None,1
," USD 22,162.60 ",8.59,34,0.0,34.75,23.0,"316,769",healthtech, series-a ,Yes,ANGEL,0
69.0,"$24,155",14.09,28.0,0.0, 3 % ,16," USD 151,562.63 ", healthtech ,series-a,0,TIER-2-VC,0
n/a,"113,291",12.82, 20.0 ,0,unknown, 28.0 ," USD 1,706,911.78 ",ai, series-b ,no,Angel,1
69,"75,603",12, 11.0 ,1.0,29.3%,19,"$1,056,037",Ecommerce,pre-seed,No,angel,0
58.0,"$83,931",12,30.0,0.0, -23 % ,20,n/a,ECOMMERCE,SERIES-B,1,TIER-2-VC,0
unknown,"$35,259",14,9.0,0.0,45.4,21.0," USD 623,803.28 ", healthtech , series-a ,FALSE,Angel,0
 82.0 ," USD 72,201.89 ", 17.24 , 32.0 ,1.0,54.0%,19," USD 950,859.16 ",saas,SERIES-A,remote,TIER-1-VC,0
64,"220,120",20, 63.0 , 0.0 ,-35.0, 21.0 ," USD 3,118,181.60 ",FINTECH, seed ,TRUE,tier-2-vc,0
88.0,"115,072", 12.99 , 45.0 ,0,8.2%,20.0,"$1,733,154",Healthtech,Pre-Seed,0,angel,0
92.0,"80,285",17,36, 0.0 ,-2.94, 13.0 ,"$1,761,761",Ecommerce,Seed,,TIER-2-VC,0
110," USD 57,441.39 ",9,25,1, 5 % ,27," USD 730,124.91 ",Saas,Seed,yes,TIER-1-VC,0
96.0," USD 58,864.00 ",17,2,1,2.5%,20.0," USD 772,352.00 ",Ecommerce, seed ,Yes,angel,0
63.0,"$22,673",9.19, 7.0 ,0.0,24.61, 21.0 ,"$260,417", ai ,Series-B,1,tier-2-vc,0
60,"84,263",18.45, 44.0 , 0.0 ,7.97, 17.0 ,unknown, ai , pre-seed ,remote,Angel,0
30.0,"$116,427",24.05, 15.0 ,0.0,-6.4,," USD 2,005,797.95 ",Healthtech,Series-B,yes,TIER-2-VC,0
 73.0 ,"30,743", 12.39 ,16.0, 1.0 ,6.9%,16," USD 516,835.17 ", ai ,SEED,0,tier-2-vc,0
 19.0 ,"$50,829",2,24, 0.0 , 19 % , 25.0 ,"1,074,068",fintech,series-a,yes,none,1
111.0,"$38,692",10.26,11.0, 0.0 ,-11.31, 12.0 ," USD 780,253.72 ",fintech,SEED,no,Angel,0
 101.0 ,"43,004",19.16,9.0,1.0,-19.63,17,,,Seed,remote,None,0
17,, 15.77 , 25.0 , 1.0 , 46 % , 23.0 ,"$1,182,762", ai ,SEED,yes,Tier-2-Vc,1
94.0,"$23,239",14, 14.0 ,2.0,,19.0," USD 347,603.31 ", healthtech , series-b ,yes,tier-2-vc,0
 16.0 ,"$102,524",18.04,16,2,7.5%,17.0," USD 1,107,162.55 ",SAAS,Pre-Seed,1,Angel,1
87.0,"110,705",15.42,15.0,1.0,2.84,12.0,"$2,079,730",Fintech,Pre-Seed,1, none ,0
 13.0 ," USD 63,697.05 ", 19.09 , 33.0 , 0.0 ,,15.0,"1,049,354", healthtech ,SERIES-B,FALSE,tier-1-vc,0
 60.0 ,"$18,688",18,23, 1.0 ,41.9%,20,"$347,682", saas , pre-seed ,0,angel,0
 79.0 ," USD 42,275.79 ",20.61, 23.0 ,0,20.44,18," USD 483,783.08 ", fintech ,,,angel,0
 88.0 ," USD 144,075.98 ",14.79,34, 0.0 , -17 % ,,"2,507,847",fintech,PRE-SEED,No,none,0
51," USD 15,868.69 ", 17.53 , 24.0 ,3,-14.9%,19.0,"$266,924",ai,pre-seed,onsite,Tier-2-Vc,1
 110.0 ,"$60,407",11.46,, 2.0 ,2.82,20.0,"1,000,109",AI,Seed,remote,unknown,0
93.0,"38,216",9.99,33.0,0.0, 5 % ,,"507,004", saas ,SEED,No, tier-1-vc ,0
27.0,unknown, 21.53 , 35.0 , 1.0 , -21 % , 15.0 ,"2,362,927",healthtech, seed ,FALSE,Tier-2-Vc,0
81,"$50,447",14, 24.0 ,1, 25 % , 13.0 ," USD 1,220,890.17 ", saas ,seed,onsite,none,0
88,"91,325",17,27.0,1.0,-9.6%, 14.0 ,"$1,055,586",healthtech,series-a,TRUE,TIER-2-VC,0
42.0,"99,808",14,15.0, 1.0 ,36.88,18,"$1,884,552", fintech , series-b ,No,ANGEL,0
 89.0 ," USD 200,771.80 ",10,14.0,1,42.8%, 29.0 ,"$901,184",ECOMMERCE,SEED,yes,none,0
108,"65,407",13.05, 37.0 , 1.0 , 6 % , 16.0 ,"1,221,436", ai ,Seed,FALSE,TIER-2-VC,0
 98.0 ,"89,933",20.18,32,0.0, 18 % ,23,"$766,177",Ecommerce,SEED,onsite,angel,0
92,"32,313",15.78,32, 0.0 ,-12.18,,"449,152",saas, series-a ,TRUE,,0
77,n/a, 4.44 ,30.0,1, 21 % ,n/a,"$1,512,747",ECOMMERCE,SEED,0,TIER-2-VC,0
 34.0 ," USD 48,132.85 ", 11.92 , 27.0 ,0,1.03,12.0," USD 728,613.59 ", healthtech ,series-a,remote,,1
96.0," USD 53,722.39 ", 21.91 ,n/a,0.0,-9.57, 16.0 ," USD 1,039,806.32 ",Fintech,seed,TRUE, tier-1-vc ,0
,"$72,241", 11.93 ,,1,4.79,20.0,,SAAS,,0,TIER-2-VC,0
65.0,,4.0,39, 0.0 ,1.6%,unknown,"$450,825",ecommerce,SERIES-A,no,NONE,1
39.0,n/a,22,25.0,1.0,4.15,22,"1,156,668", ai ,seed,yes,angel,1
 39.0 ,"124,506",16,45.0, 0.0 ,27.1%,25.0,"$2,779,489", ai ,seed,no,tier-1-vc,0
 21.0 ,"$85,915", 12.65 ,29, 0.0 ,-4.1%,15.0,, saas ,PRE-SEED,TRUE,ANGEL,0
115.0," USD 30,519.05 ",11,35.0,0, 41 % , 20.0 ,"344,595", ai ,Seed,onsite,angel,0
20.0,, 18.41 ,30,0.0,-13.8%,29.0,"964,274",,Pre-Seed,No,angel,1
13," USD 109,986.83 ",,29, 1.0 ,39.1%, 18.0 ,"2,444,393",Fintech,SERIES-A,No,Angel,0
112.0," USD 26,032.63 ", 18.74 , 16.0 ,1.0,-8.3,15,"$490,909",saas, seed ,yes,NONE,0
67.0,"40,493", 15.71 , 36.0 ,0.0,10.0%,19.0,"499,157",,PRE-SEED,remote,TIER-2-VC,0
54,"118,433",14,66, 0.0 ,1.2%,," USD 1,768,401.60 ",FINTECH, pre-seed ,FALSE, tier-1-vc ,0
,"$84,843", 13.73 ,21,0.0,3.81, 23.0 ,"1,277,692",Ecommerce,seed,1,Tier-2-Vc,1
47.0,"$91,728", 12.13 ,27, 1.0 ,24.42, 16.0 ,"$1,270,258",SAAS,Series-B,1,none,0
17,"203,358", 18.23 , 20.0 , 0.0 , 37 % ,14.0,"1,862,585", fintech ,Seed,No, angel ,0
88.0,"94,628",unknown,unknown, 0.0 ,n/a,," USD 1,257,554.18 ",Fintech, pre-seed ,No,None,0
23,"$105,013", 4.89 ,n/a,1, 3 % ,12,"2,263,742",Ecommerce, seed ,no,Angel,0
67," USD 324,782.19 ",16.07, 17.0 , 1.0 ,13.3%,23.0,"$4,701,359",Healthtech,Series-B,onsite, tier-2-vc ,0
 114.0 ," USD 65,017.22 ",16.16,19.0, 0.0 ,-4.1%,21.0,"$1,013,423",ai,series-a,onsite, angel ,0
112,"47,154",unknown,4.0,1.0,-7.8%,,"$780,962",saas,PRE-SEED,remote,,0
45,"$92,530",15.04,15, 0.0 ,-10.6%,19.0,"2,301,458",Ai,SEED,FALSE,angel,0
 94.0 ,"$93,101",11, 2.0 ,1,2.12,8,"$1,492,928",Ecommerce,series-a,No, tier-2-vc ,0
 74.0 ,"54,738", 16.94 , 35.0 ,0, 14 % ,13,"1,115,322",AI, series-a ,onsite, tier-1-vc ,0
 59.0 ,"$41,447", 12.77 , 65.0 , 0.0 , -24 % ,19,"563,987", healthtech , seed ,remote,TIER-2-VC,1
 19.0 ,"260,515", 10.56 ,21,0,9.2%,11," USD 3,897,925.39 ",saas,SERIES-A,Yes,TIER-1-VC,0
 47.0 ,"87,532", 11.44 ,3.0,1.0, 37 % , 23.0 ,"$1,404,913",Saas,Seed,yes, tier-2-vc ,0
unknown,"$48,886",23, 39.0 ,2,30.19,11,"$630,797", healthtech ,PRE-SEED,no,Tier-2-Vc,0
118,"121,026",4.33,16,2,-0.5%,17.0,,healthtech,PRE-SEED,yes,ANGEL,1
3.0," USD 68,869.60 ",15.5, 44.0 , 0.0 ,-15.14,,"$1,346,552",fintech, seed ,0, angel ,1
 86.0 ,"$63,635", 4.6 , 22.0 ,0.0,18.28, 16.0 ,"$814,432",FINTECH,pre-seed,no, tier-1-vc ,0
102,unknown, 12.46 ,,1.0, -32 % ,unknown," USD 1,594,165.66 ",healthtech, seed ,1,NONE,1
114,"35,935", 10.83 ,24.0,1.0, 30 % ,17,"676,832",Fintech,series-a,No,tier-1-vc,0
52,"$88,783",3, 37.0 ,1, 6 % ,26,"$1,127,728",,SERIES-A,Yes, angel ,0
 16.0 ,"209,426",,23,1.0,43.0%, 20.0 ,, saas , pre-seed ,remote,tier-2-vc,1
 34.0 ," USD 94,504.03 ",11.1,19,0,-21.09,19," USD 1,539,615.54 ",SAAS, pre-seed ,TRUE,Angel,1
102.0," USD 59,461.44 ",2,,2,26.5%, 19.0 ,"$912,109",fintech, series-a ,yes,tier-1-vc,0
105,n/a,17, 8.0 , 1.0 ,8.2%,16," USD 440,846.23 ", healthtech , seed ,No,,0
 77.0 ,"58,356", 20.18 ,32.0,1, 4 % , 15.0 ,"$846,482",fintech,Pre-Seed,,,0
17,"63,597",20, 2.0 , 0.0 ,-14.7%,20.0,"$1,112,079",AI,series-a,yes,tier-1-vc,0
 17.0 ,"59,409",15, 20.0 ,0.0,20.7%, 18.0 ,n/a,ECOMMERCE,PRE-SEED,1,ANGEL,1
58.0," USD 121,051.49 ",13.23, 37.0 ,0.0, 22 % , 9.0 ,"2,211,799",Ecommerce, pre-seed ,no,angel,0
,"$28,190",,30.0,0.0,42.1%,19.0,"$578,039",ai,SERIES-A,remote,TIER-1-VC,0
unknown,"117,489",,34,1.0,,8.0,"1,311,598", ecommerce , seed ,unknown,tier-1-vc,0
83,"$59,348",19,25.0, 1.0 ,-0.7%,19.0,"919,460",ecommerce,seed,unknown,NONE,1
66.0,"89,978",8,42.0,0.0,-8.07, 23.0 ,,ai,Series-A,remote,Tier-2-Vc,0
4,"$39,346",14,39.0, 1.0 ,-14.6%,19,"$489,824",Saas,series-b,TRUE,Angel,1
14.0," USD 151,864.98 ", 15.2 ,32,0, 37 % ,15.0,"$3,016,174",HEALTHTECH,Pre-Seed,remote,ANGEL,1
 56.0 ," USD 145,088.51 ", 3.95 ,,1.0,-4.01,14,"2,747,000", ecommerce ,seed,No,tier-2-vc,1
87," USD 123,967.51 ", 15.35 , 37.0 ,0.0,36.6%, 19.0 ,"2,119,707",Ai,PRE-SEED,No,None,0
99,"31,789",24.36,20.0,1,19.45, 18.0 ,"$466,832",Saas,seed,remote,Angel,0
53.0," USD 115,383.49 ",16.2,7.0,2.0,15.94,," USD 1,390,927.18 ",unknown, seed ,onsite,angel,1
 37.0 ," USD 91,369.80 ", 20.37 ,32, 0.0 , 4 % , 20.0 ," USD 2,110,781.03 ",fintech,Seed,0, tier-1-vc ,0
116,n/a, 13.91 ,34, 0.0 ,21.89,10.0," USD 560,370.94 ", saas ,,No,TIER-2-VC,0
56.0,"72,160", 12.63 ,41.0,1.0,9.72,17,unknown,Ecommerce, series-a ,No, angel ,0
39.0," USD 89,365.86 ",15, 13.0 ,1.0, 3 % ,18," USD 1,282,275.02 ",healthtech,Seed,no,tier-1-vc,0
,"99,294",8.92,13.0,1,22.53,15," USD 1,603,747.27 ", fintech , series-b ,Yes,,0
n/a,"$80,619",8.18,32.0, 0.0 , 7 % ,22,"1,343,027",ecommerce,unknown,TRUE,Angel,1
 38.0 ,"85,835",19.33, 25.0 ,0,-4.37,11," USD 1,510,645.99 ",healthtech,Series-A,FALSE, tier-1-vc ,0
63,"$164,470", 19.86 ,2.0,0.0, 21 % ,13.0,"3,114,637",SAAS,SEED,onsite,angel,0
110.0,n/a, 8.04 ,31, 1.0 ,8.85, 13.0 ,"1,847,283",ecommerce,SEED,yes, angel ,0
 89.0 ,"15,110",18,2,0.0,18.8,17,"153,120",SAAS,SERIES-A,FALSE,angel,0
94.0," USD 61,414.96 ",12.57,13,0,1.83, 26.0 ," USD 1,003,343.84 ", ai , series-a ,onsite,None,0
 66.0 ,"$66,799",15,45.0,0,-11.8%,18.0,"601,934",Ecommerce,SEED,0,tier-2-vc,0
n/a," USD 27,898.99 ",15,52.0, 3.0 , 41 % , 22.0 ,"410,265", healthtech ,Seed,No,unknown,0
,,17.97,9,0,37.8%,23,"$1,075,428",AI,SEED,yes, tier-1-vc ,0
119.0," USD 145,337.92 ",unknown, 21.0 ,1,25.9%, 14.0 ,"2,611,285",Saas,SEED,no, angel ,0
8,"40,231",20.05, 27.0 ,1.0,3.02,20.0,"$962,738",ecommerce,seed,onsite,NONE,1
105.0,,15, 51.0 , 0.0 ,4.59, 23.0 ," USD 723,452.32 ",FINTECH, series-a ,TRUE,Angel,0
83.0,"44,192",16.12,19, 1.0 ,34.9%,20.0,"$1,109,073",Saas,seed,Yes,none,0
 36.0 ," USD 50,536.36 ",8.83,19.0,1,3.63,20,"761,467",ECOMMERCE,seed,0,TIER-1-VC,0
94,"$164,813",23.79,48.0,0.0,-1.4%, 17.0 ,"2,866,301",HEALTHTECH,SEED,yes,Tier-2-Vc,0
100.0," USD 54,262.75 ",n/a, 21.0 ,0,,19.0,"561,113",Fintech,Series-B,1,Tier-2-Vc,0
 8.0 ,"$94,298",16.56,36,0, 9 % ,12.0,"1,884,783", healthtech , pre-seed ,remote,tier-2-vc,0
15.0,,4.96,5.0,0, 42 % ,20,"422,411",SAAS,PRE-SEED,yes,,0
80.0,"203,674",9,24,0,-15.2%,16,"$3,208,703",HEALTHTECH, pre-seed ,remote,NONE,1
unknown,"$101,871",,n/a,1.0,19.3%,19,"840,479",saas,Series-A,,angel,0
 5.0 ,"66,146",unknown, 11.0 ,0.0, 47 % ,21,"$1,077,867", saas , seed ,onsite,Tier-2-Vc,0
80.0,"100,363", 3.43 ,38.0,0.0,10.5%,33,"$1,945,371", ecommerce ,Seed,FALSE,Angel,1
,"33,678",,25,0.0,, 14.0 ,"507,018",Fintech,Pre-Seed,TRUE,none,1
79," USD 140,139.26 ", 10.28 , 22.0 ,1.0,-11.0%,22,"$2,900,434",Ai,Series-B,remote, tier-2-vc ,0
75,"61,194", 20.06 ,16.0,0,29.48,17.0,"1,256,415",Fintech, seed ,yes,angel,0
13,"65,366",13,23.0, 0.0 , -4 % ,23,"878,236",healthtech, seed ,No, tier-2-vc ,1
82,"55,803",14,30,0.0, 8 % , 14.0 ," USD 1,248,904.67 ",ai,PRE-SEED,no,NONE,0
107," USD 53,137.69 ", 18.89 , 40.0 ,0.0,-12.2%,17.0,"$859,830",Ecommerce,PRE-SEED,1,Angel,0
,"$107,159", 8.51 , 2.0 , 0.0 ,38.0%,19.0,"$1,735,866",saas,PRE-SEED,no,Angel,0
,"84,183", 8.04 ,14.0,1.0, 31 % , 21.0 ,unknown,fintech,Seed,TRUE,unknown,0
 31.0 ,"104,659",12, 28.0 ,0.0,9.4%, 13.0 ,"$1,703,560",Ai,seed,remote,Tier-2-Vc,0
31,"$72,778", 17.14 ,25.0,0,-10.8%,27,"$398,782",ecommerce,Pre-Seed,onsite, none ,1
56.0,"96,980", 6.35 ,32.0, 0.0 ,37.6%,15,n/a, healthtech ,SEED,Yes, tier-2-vc ,0
 19.0 ,"58,083",4.66,30.0, 0.0 ,3.4%,15,"$612,443",fintech, pre-seed ,onsite,TIER-2-VC,0
102.0,"249,285",17,22.0,0,,18.0,"$5,610,247",healthtech,seed,Yes, tier-2-vc ,0
93.0," USD 30,873.03 ",9.99,,0,-21.72,16," USD 689,837.23 ",SAAS,PRE-SEED,onsite,tier-1-vc,0
97.0,"$146,315",11,23,1,-1.63, 15.0 ,"$2,839,641",healthtech, pre-seed ,remote, tier-2-vc ,0
26,n/a,3.72, 42.0 ,1, -16 % ,20.0,"2,334,877",FINTECH,pre-seed,, angel ,1
4.0," USD 45,766.73 ",9.61,16, 0.0 , -1 % ,12.0,"547,733",SAAS,series-a,Yes,ANGEL,0
109.0,"$249,222", 12.96 ,25.0, 2.0 ,23.4,13,"3,332,021",ecommerce,series-b,no,ANGEL,1
 36.0 ,"$126,440",17.65, 29.0 , 1.0 ,3.24, 14.0 ," USD 3,005,540.02 ",Fintech,SEED,FALSE,Angel,1
79.0,"124,757",9,48,0,16.4,19.0," USD 1,650,691.62 ",Ecommerce,pre-seed,FALSE,Tier-1-Vc,0
109,"$74,266",21.29, 22.0 , 2.0 ,-3.02, 14.0 ,, healthtech , series-b ,yes,tier-2-vc,0
 7.0 ,, 9.58 , 39.0 , 1.0 ,11.2%,," USD 1,305,730.04 ",healthtech, series-b ,Yes,Angel,0
3.0,unknown,10, 43.0 ,0.0,44.6%,11,"1,433,972",Ecommerce,seed,yes,tier-1-vc,0
3," USD 90,652.78 ", 20.69 ,25.0,1.0, 4 % ,21,"$2,052,094", saas ,Pre-Seed,FALSE,Tier-2-Vc,0
 21.0 ," USD 158,047.75 ",14,23.0, 1.0 ,16.92,20,"3,185,198",Ecommerce,Series-A,TRUE,ANGEL,0
9,"80,799", 10.24 , 21.0 , 0.0 ,-18.2%, 15.0 ," USD 1,681,115.32 ",, series-b ,Yes,Tier-1-Vc,0
98.0,unknown,12.22,22,0.0,,25,"$718,156",Saas,SERIES-A,no, angel ,0
73.0,"$115,086", 19.77 ,38.0, 2.0 ,1.4%, 19.0 ,"$885,566",Healthtech,,onsite,Angel,0
117," USD 121,374.11 ",20.33,29.0,0, 29 % , 13.0 ," USD 1,955,521.98 ", ai , seed ,yes,ANGEL,0
96,"$104,827", 8.92 , 29.0 ,0.0,7.8%,14.0," USD 1,937,854.86 ",Saas,Series-B,Yes, tier-1-vc ,0
115.0,"$110,197", 12.79 ,10,0.0, 21 % ,20," USD 1,703,525.64 ",AI, pre-seed ,yes,ANGEL,1
30.0,"$63,006", 13.45 , 12.0 ,0.0,22.1%,14.0,"962,525",Fintech, pre-seed ,FALSE,Angel,0
36,unknown,8,56.0,0, 2 % ,20,"$532,774",Ai,series-a,Yes,tier-2-vc,0
102.0,"$45,365", 12.72 ,24.0,2, 30 % , 13.0 ,"$544,063",ai,pre-seed,no, tier-1-vc ,0
31,"$29,747",13.03,unknown,0.0,-3.7%,10.0," USD 694,677.71 ",HEALTHTECH,Seed,Yes,None,0
 9.0 ,"83,310", 18.7 ,46,1.0, 24 % ,17.0,"$1,957,563",ai,Seed,, angel ,0
81.0," USD 69,849.85 ", 19.04 , 30.0 ,1.0, 3 % , 22.0 ,"$1,116,858", ai ,PRE-SEED,0,tier-1-vc,0
96," USD 57,411.89 ",11.35,34.0,0.0, 16 % , 16.0 ," USD 983,241.51 ",Ecommerce,pre-seed,Yes,Tier-2-Vc,0
 116.0 ," USD 14,391.74 ",12,24,0.0,1.68,,,saas,seed,TRUE,ANGEL,0
111.0," USD 36,826.59 ",16, 22.0 ,1.0,n/a,18,"683,881",Healthtech,SEED,TRUE, angel ,0
17.0," USD 135,464.16 ", 10.07 ,24,1.0,-9.34,19.0," USD 3,120,904.07 ",unknown,seed,,Angel,1
93,"50,739", 15.94 , 7.0 , 0.0 , 14 % ,11.0," USD 501,460.23 ", saas ,SEED,Yes,TIER-2-VC,0
101,,unknown, 25.0 ,1.0,10.8%,15,, ecommerce ,SERIES-B,FALSE,Tier-2-Vc,1
 84.0 ,, 8.15 , 30.0 ,0.0, 0 % , 18.0 ,"617,929", healthtech , seed ,Yes, tier-2-vc ,0
98,"161,343",8,52,0.0,9.01,,"$2,921,991",healthtech,Series-B,yes,NONE,0
101,"$67,561", 20.24 , 27.0 , 1.0 ,12.4%,14,"$1,524,936",Fintech,,FALSE, tier-2-vc ,0
 55.0 ,"$85,778",12, 2.0 , 0.0 ,-1.1%,28,"2,071,039",Healthtech,PRE-SEED,No, none ,1
 7.0 ,"$262,808",21.2,25.0, 2.0 , 8 % , 18.0 ," USD 3,959,482.01 ",AI,Series-A,No,Tier-1-Vc,0
56,"168,391",10.43, 64.0 , 1.0 ,-8.1%,15.0,"3,147,676",healthtech, series-a ,FALSE,none,0
26,"61,783", 14.46 ,38.0, 0.0 ,,21,"1,009,350",Ai,PRE-SEED,0,None,0
16.0,"52,772",25, 15.0 ,0,29.06, 12.0 ,,fintech, seed ,remote,angel,0
17," USD 61,141.75 ",7.71,34.0,1,,12.0,"$1,044,500",fintech,SERIES-A,onsite,angel,1
 84.0 ,"96,804", 3.51 , 16.0 ,1,31.1,,"1,808,880", saas ,pre-seed,No, angel ,1
62.0,"$69,018",19.43, 7.0 ,0,-25.6%,20.0," USD 1,164,180.72 ",saas,seed,No,TIER-2-VC,0
66.0," USD 58,842.27 ",9,21, 0.0 ,,13.0," USD 734,073.49 ",Ecommerce, pre-seed ,No, tier-1-vc ,0
90," USD 163,889.83 ",13,27, 1.0 ,2.81,n/a,unknown,ecommerce,PRE-SEED,remote,TIER-2-VC,0
,"$68,678", 10.07 ,2.0,1,-14.81, 19.0 ,"$973,605",HEALTHTECH,SERIES-A,onsite,TIER-2-VC,1
unknown," USD 259,049.39 ",14.34,10.0,0.0,5.7%, 22.0 ,"3,271,852",HEALTHTECH,seed,0,angel,1
 13.0 ,n/a,8.25, 26.0 ,0, 14 % ,20," USD 1,326,376.82 ",Saas, series-a ,Yes,TIER-2-VC,0
," USD 195,228.34 ",12.1,20.0,2.0,26.57, 20.0 ,"3,450,163",Healthtech,unknown,FALSE,NONE,1
 55.0 ," USD 89,011.93 ",15.25,32.0,0.0, -10 % , 21.0 ,"1,772,946", ai , series-b ,remote,angel,0
21," USD 124,197.50 ",7.96, 9.0 , 0.0 , 17 % , 19.0 ,"$1,561,102",ai, seed ,remote,NONE,1
98,"49,093",9.5, 36.0 ,0, 10 % ,20,"672,082",Ecommerce, seed ,remote,ANGEL,0
88,"45,726",, 9.0 ,0.0,16.26,10,"1,015,963",HEALTHTECH, seed ,no,TIER-2-VC,0
9.0,"$94,168",5.86, 49.0 , 2.0 ,0.64,23,"$1,444,731",saas, seed ,onsite,None,1
25,,10.89,2.0,0, 35 % , 18.0 ," USD 2,030,509.96 ",fintech, seed ,yes,NONE,0
4.0," USD 74,767.69 ",14,n/a,0.0, 8 % ,20,"$1,143,915",ai,series-a,Yes,Tier-2-Vc,1
34.0," USD 36,043.57 ",11,32.0,1.0, 42 % ,18," USD 740,050.95 ", ecommerce ,Seed,1,None,1
14.0,"$34,609",12,49.0,1.0,-4.2%, 16.0 ," USD 715,956.53 ", healthtech ,pre-seed,remote,tier-2-vc,0
 86.0 ,"$33,359",12.9,30, 1.0 ,23.37, 18.0 ," USD 682,280.65 ",ecommerce, series-a ,yes,Angel,0
64.0,"$27,662",10, 34.0 , 1.0 ,8.9%,14,"$445,528",SAAS,,yes,TIER-1-VC,0
117.0,,16.46, 26.0 ,0, 4 % ,17,"$971,664", fintech ,Seed,no, tier-2-vc ,0
90,"135,778",,,0,21.38,27.0,"3,218,047",Ai,SERIES-A,remote,None,0
74," USD 72,592.82 ",11,19.0, 1.0 ,4.6%,20,"$1,410,133", fintech ,,0,tier-1-vc,0
 62.0 ,n/a,15,9, 0.0 , -35 % , 14.0 ," USD 298,981.30 ",fintech,SERIES-A,0,angel,0
9.0," USD 65,846.51 ",12,8,0.0, -35 % , 17.0 ," USD 1,428,558.23 ",ai, seed ,1,ANGEL,0
 11.0 ,n/a, 14.83 ,32.0,0,32.9%,10,"926,613",HEALTHTECH,SEED,0,,0
75.0,"231,607", 20.83 , 10.0 , 1.0 ,32.14,21,"$5,012,637",AI, pre-seed ,, tier-2-vc ,0
3," USD 32,812.81 ",15.54,30, 0.0 , 44 % ,,"719,032",ai,PRE-SEED,1,ANGEL,0
7.0,"$58,990",4,8.0,1.0,9.68,21,"726,410", saas , series-a ,remote,ANGEL,0
28,"$186,879", 15.27 ,30.0,1.0,-13.3%,20,"$3,424,946",Ai,Seed,1,None,0
 106.0 ," USD 93,665.77 ",19.16,19.0,0.0,2.5%, 30.0 ,"1,791,710", healthtech ,Pre-Seed,FALSE,TIER-2-VC,0
 56.0 ,"99,690",11.89, 46.0 , 0.0 ,10.21, 16.0 ,"$2,637,765", healthtech ,unknown,onsite,tier-1-vc,0
